Nigeria;South Africa;Tunisia;China;India;Iran;Iraq;Israel;Japan;Malaysia;Nepal;Pakistan;Philippines;South Korea;Sri Lanka;Taiwan;Thailand;Turkey;Viet Nam;Belgium;Czech Republic;Finland;France;Germany;Greece;Italy;Netherlands;Serbia;Spain;Sweden;USA;Brazil;Peru;Colobmia;Peru;Australia
Nigeria;South Africa: KwaZulu-Natal;Tunisia;China: Nanchang;India: Kerala State;Iran: Tehran;Iraq;Israel;Japan;Malaysia;Nepal;Pakistan;Philippines;South Korea;Sri Lanka;Taiwan;Thailand;Turkey;Viet Nam: Ho Chi Minh city;Belgium;Czech Republic;Finland;France;Germany: Dusseldorf;Greece;Italy: Cagliari;Netherlands: Milheeze;Serbia;Spain;Sweden;USA: Illinois;Brazil;Peru;Colombia: Antioquia;;Australia: Queensland
Nigeria: Lagos;;Tunisia: Tunis;China: Anhui, Fuyang;India: Rajkot;Iran: Qum;;;;;;Pakistan: KPK;;;;;;;Viet Nam;;;;;;;Italy;;;Spain: Valencia;;USA: WI;;;;;Australia
;;;China: Wuhan;India;Iran;;;;;;Pakistan: Gilgit;;;;;;;;;;;;;;Italy: Rome;;;;;USA: Snohomish County, WA;;;;;Australia: Victoria
;;;China: Beijing;;;;;;;;;;;;;;;;;;;;;;;;;;;USA: CA, San Diego County;;;;;
;;;China: Hubei, Wuhan;;;;;;;;;;;;;;;;;;;;;;;;;;;USA: San Francisco, CA;;;;;
;;;China: Zhejiang, Hangzhou;;;;;;;;;;;;;;;;;;;;;;;;;;;USA: TX;;;;;
;;;China: Shanghai;;;;;;;;;;;;;;;;;;;;;;;;;;;USA: North Carolina;;;;;
;;;China: Guangdong;;;;;;;;;;;;;;;;;;;;;;;;;;;USA: MI;;;;;
;;;China: HuaShang;;;;;;;;;;;;;;;;;;;;;;;;;;;USA: DC;;;;;
;;;China: Yunnan;;;;;;;;;;;;;;;;;;;;;;;;;;;USA: FL;;;;;
;;;China: Hangzhou;;;;;;;;;;;;;;;;;;;;;;;;;;;USA: IA;;;;;
;;;China:Wuhan;;;;;;;;;;;;;;;;;;;;;;;;;;;USA: IL;;;;;
;;;China: Shenzhen;;;;;;;;;;;;;;;;;;;;;;;;;;;USA: KS;;;;;
;;;China;;;;;;;;;;;;;;;;;;;;;;;;;;;USA: LA;;;;;
;;;Hong Kong;;;;;;;;;;;;;;;;;;;;;;;;;;;USA: MA;;;;;
;;;China: Guangzhou;;;;;;;;;;;;;;;;;;;;;;;;;;;USA: MO;;;;;
;;;China: Guangdong, Guangzhou;;;;;;;;;;;;;;;;;;;;;;;;;;;USA: NE;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;USA: NH;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;USA: SC;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;USA: GA;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;USA: HI;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;USA: IN;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;USA: MD;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;USA: MN;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;USA: OH;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;USA: PA;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;USA: RI;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;USA: NV;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;USA: NC;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;USA: AZ;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;USA: UT;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;USA: OR;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;USA: New Orleans, LA;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;USA: ID;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;USA: CT;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;USA: NY;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;USA: NJ;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;USA: WA;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;USA: VA;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;USA: New York;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;USA;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;USA: CA;;;;;
